,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
86,IL18BP,1.99503707790695e-320,-0.752427535530226,-0.717503599094978,-0.787351471965474,2.79908445060546e-318
87,BST2,1.62651351267397e-319,-0.672693508456163,-0.638380206249493,-0.707006810662834,2.25580591391326e-317
88,PRDX2,1.03690092878684e-311,0.641399126294808,0.673793378609726,0.609004873979891,1.42173256894796e-309
89,PIM1,1.19846873625415e-309,-0.921372758146365,-0.876122456984873,-0.966623059307857,1.62480042378006e-307
90,EEF1G,1.04440053153244e-307,0.590480486983901,0.620589118218748,0.560371855749054,1.40019297927449e-305
91,IFI44,1.45524203340185e-306,-0.594912078028373,-0.564191778945089,-0.625632377111656,1.92955498626667e-304
92,GSTP1,1.56096003629903e-304,0.636628884912047,0.669152433412505,0.60410533641159,2.04723302152001e-302
93,MPEG1,7.2659779876627e-304,-0.716357871565849,-0.67921919493448,-0.753496548197218,9.42702047302561e-302
94,SAMHD1,4.21794649821488e-303,-0.688818149307384,-0.652076352863165,-0.725559945751604,5.41422791994263e-301
95,TAP2,3.22332451881824e-301,-0.620499191490122,-0.590108850808759,-0.650889532171485,4.09396143621693e-299
96,DUSP6,4.21469420121142e-301,-1.01074510483706,-0.958893086752356,-1.06259712292176,5.2973437741476e-299
97,IFITM1,1.74017502002811e-298,-0.292209405860604,-0.277060763934403,-0.307358047786805,2.16463420532569e-296
98,CARD19,1.01492404823529e-295,0.568549834860821,0.597860108780394,0.539239560941249,1.2495993434701e-293
99,RIPK2,3.47786538163029e-295,0.730539819784686,0.769492512014547,0.691587127554826,4.23878017118697e-293
100,RACK1,4.19658285837481e-295,0.608582257674745,0.639940615601959,0.577223899747532,5.06359687691505e-293
101,VAMP8,1.14336631888264e-294,-0.665328392986255,-0.630290793566407,-0.700365992406102,1.36592653501366e-292
102,OLR1,1.27384156418801e-293,0.941809296828741,0.989276596670908,0.894341996986575,1.5068796385777e-291
103,CD63,3.16736376383482e-292,-0.601983991545621,-0.569822730718939,-0.634145252372304,3.71042826936222e-290
104,ITGB7,4.18944634154824e-292,-0.624028053102239,-0.593807222909272,-0.654248883295206,4.86056341895395e-290
105,CHD2,8.41432954614229e-290,0.620585526351855,0.653027203791052,0.588143848912658,9.66926669559552e-288
106,FOSL2,1.48123440096943e-289,0.71081523807351,0.747863922821741,0.673766553325278,1.68609191340539e-287
107,CD9,1.17347630482281e-286,0.595430699373074,0.630392335666996,0.560469063079153,1.32328645738244e-284
108,BLOC1S1,1.99071317249925e-281,-0.633630248207512,-0.599499640163043,-0.66776085625198,2.22406899438666e-279
109,TGM2,1.74117698783653e-279,-0.511517544210399,-0.485296647412047,-0.53773844100875,1.92743500323262e-277
110,RGCC,4.57771153585719e-278,-0.959563383842883,-0.90727306198848,-1.01185370569729,5.02133339924117e-276
111,MALT1,5.43408302375485e-276,0.616518114386831,0.651109964279262,0.5819262644944,5.90699511393027e-274
112,GSTK1,1.60441911956372e-274,-0.541326326999313,-0.511664716546693,-0.570987937451933,1.7284750979157e-272
113,EIF1,9.27904358621478e-272,0.449119551651889,0.473186515537522,0.425052587766256,9.90804777975819e-270
114,CTSZ,3.92485379226499e-271,-0.492909343246313,-0.466151418321273,-0.519667268171353,4.15414788223415e-269
115,CEBPD,8.29728878131271e-264,0.786871587875953,0.830160407067487,0.74358276868442,8.70565969002776e-262
116,CD53,4.9170344438669e-262,-0.551435017003341,-0.520318155819038,-0.582551878187644,5.11456358618086e-260
117,KCNMA1,7.249431973838e-262,-0.33230669491187,-0.3141652274212,-0.350448162402541,7.47620907660934e-260
118,PRNP,4.6168396252555e-261,0.606117402436641,0.639652625056157,0.572582179817125,4.72091414562143e-259
119,CXCR4,2.13185343182162e-258,1.00188717946539,1.05728915543372,0.946485203497049,2.1615918914588e-256
120,PSMB9,6.73607063845044e-256,-0.711044961287619,-0.673150464977506,-0.748939457597732,6.77311902696191e-254
121,MT2A,1.19732238226489e-255,-0.720584582484088,-0.679587762368165,-0.76158140260001,1.19395800532299e-253
122,SQSTM1,4.11479330536636e-253,0.598228491997403,0.631964414136802,0.564492569858004,4.06959803463529e-251
123,EIF3L,2.51497683646443e-250,0.52040394936884,0.551062506234742,0.489745392502938,2.46713093567315e-248
124,GM2A,1.26816836240958e-246,-0.565579293278353,-0.532537269657582,-0.598621316899124,1.23400963393823e-244
125,C2,3.33444595200179e-245,-0.536958024227377,-0.507841480815897,-0.566074567638856,3.21867398854829e-243
126,MYO7B,7.98671033410089e-245,-0.297894752270097,-0.280904340426182,-0.314885164114012,7.6482259437509e-243
127,PSMB8,4.63276959180666e-244,-0.614024450844285,-0.578723461342931,-0.649325440345639,4.40149589722356e-242
128,SELPLG,4.49881831129007e-242,-0.563123849185388,-0.532122279328386,-0.594125419042389,4.24083919875203e-240
129,LAPTM5,6.54562312254881e-241,0.369921861581103,0.391159676071822,0.348684047090384,6.12244097648635e-239
130,SCO2,8.755937203619e-241,-0.601012065421408,-0.565458437859548,-0.636565692983268,8.12685679222053e-239
131,ATOX1,1.07941122117727e-240,-0.579773168631786,-0.547446024950888,-0.612100312312683,9.94211892727095e-239
132,FAM20A,3.18387004619933e-240,-0.3160505899777,-0.297746769020766,-0.334354410934633,2.91034666495766e-238
133,SLC8A1,5.84637217424937e-240,-0.586810524206058,-0.552329597639034,-0.621291450773083,5.30393433492428e-238
134,PI4K2A,1.07274514345759e-237,0.549134038759686,0.5817065265312,0.516561550988172,9.65950962758159e-236
135,LIMK2,7.22445615227502e-237,-0.534648529251989,-0.504596970684492,-0.564700087819486,6.45705836543336e-235
136,FTH1,3.39876354498464e-236,0.375692985247858,0.397391694871652,0.353994275624065,3.0154030098371e-234
137,PIK3IP1,6.31170968518723e-236,0.323258176551048,0.344623285735428,0.301893067366669,5.55891161032621e-234
138,F13A1,1.18152443094894e-231,0.530977974784621,0.564349428742957,0.497606520826285,1.03306331766883e-229
139,GLIPR2,1.33201338271094e-230,-0.520331675604836,-0.488798051142908,-0.551865300066763,1.15626427883383e-228
140,ADAMTSL4,5.74747928646417e-230,-0.551130357628663,-0.520042861630619,-0.582217853626708,4.95350607646262e-228
141,CIRBP,2.37222046117354e-228,0.517408754870277,0.548278523277929,0.486538986462625,2.03001504145532e-226
142,CD274,5.41102593523583e-228,-0.204320333446275,-0.191701164484308,-0.216939502408242,4.59784781229265e-226
143,JAK2,3.16765827262095e-227,-0.548472660409806,-0.516797918368585,-0.580147402451027,2.67279473548562e-225
144,ITGB2,1.6115422324627e-225,-0.399373490711095,-0.375724914932579,-0.423022066489611,1.35033809561771e-223
145,GSN,8.21754657514929e-224,-0.54011867087249,-0.508927566667921,-0.57130977507706,6.83813220522423e-222
146,TNFRSF1B,4.63605316059793e-223,0.537405615428752,0.569571149787886,0.505240081069617,3.83141215313524e-221
147,IGFLR1,2.01874705919252e-220,-0.499804720774321,-0.470793827423216,-0.528815614125426,1.65702054532088e-218
148,ATP6V0E1,4.49990461933705e-220,-0.538968832227323,-0.507093026101021,-0.570844638353626,3.66863845519735e-218
149,BNIP3L,5.28032332625825e-220,0.502965638725008,0.533390896084273,0.472540381365743,4.27599874192161e-218
150,TCN2,2.34184779011947e-219,-0.440141498866846,-0.414452285751511,-0.465830711982181,1.8837823623721e-217
151,TET2,4.77205587847532e-219,0.465015109776548,0.49543978508633,0.434590434466765,3.81322028011147e-217
152,LGALS3,9.55226411833455e-219,0.586254819456154,0.621921174673785,0.550588464238522,7.58273808235689e-217
153,TUBA1A,2.60652982027604e-218,-0.711933099456587,-0.668508952322807,-0.755357246590367,2.05558096806867e-216
154,ARRB2,1.20997663796095e-217,0.422738812456312,0.448257652817247,0.397219972095377,9.48024552833562e-216
155,IFNGR1,1.88646379209574e-217,0.530737190689399,0.563448437982265,0.498025943396533,1.46852078164047e-215
156,ABCA1,2.52056568887805e-217,0.791861506826402,0.840529523593242,0.743193490059563,1.94956061551298e-215
157,MUC1,4.28657597643558e-216,-0.324773976828149,-0.305108883409514,-0.344439070246784,3.29438380456507e-214
158,H1-3,4.350159894531e-216,0.448789908755536,0.478124774147778,0.419455043363294,3.32209046122855e-214
159,RAB8A,1.09474338447818e-215,-0.511159555573673,-0.479468257523805,-0.542850853623542,8.30765640070044e-214
160,TSC22D3,1.489922517333e-215,-0.759319530643498,-0.711947604441568,-0.806691456845428,1.12358781838375e-213
161,SNX10,7.10600095157024e-215,-0.579436417269528,-0.54385586882256,-0.615016965716497,5.3255284150091e-213
162,APOL3,1.00647313823769e-213,-0.473695919229518,-0.445461659310051,-0.501930179148985,7.49636104072593e-212
163,ISG20,2.28512614452632e-211,-0.426469765084302,-0.401009362131677,-0.451930168036926,1.69155411410151e-209
164,FPR1,4.38590642625517e-211,-0.689346026778182,-0.645950300106754,-0.73274175344961,3.22685042312164e-209
165,ENG,1.2828009467192e-207,0.540534654513994,0.575545969935015,0.505523339092974,9.38077346855382e-206
166,TBC1D12,2.69486157644859e-207,0.240816768586125,0.258424638756009,0.223208898416241,1.95880721574872e-205
167,PALM2AKAP2,5.49798371519422e-206,-0.384685998550157,-0.360983205584197,-0.408388791516117,3.97237553937326e-204
168,DHRS3,7.74056038985953e-206,0.450442855573173,0.4800031196745,0.420882591471847,5.55938105143126e-204
169,H1-2,1.03330088660285e-205,0.459014042242522,0.48929791160096,0.428730172884085,7.37740147795858e-204
170,SYNGR2,1.14296827559876e-205,-0.468852574056887,-0.439278464490756,-0.498426683623019,8.11238541963217e-204
171,CYTIP,1.21990424032279e-204,0.58787491177782,0.625003731200774,0.550746092354867,8.60781553434782e-203
172,ETS2,2.38451958559134e-204,0.642112191056857,0.683421790890691,0.600802591223023,1.67276821626425e-202
173,APOBEC3A,4.31288494119947e-204,-0.949673297235638,-0.891026953656731,-1.00831964081454,3.00805027170594e-202
174,FOXO1,7.64473063874221e-201,0.481065207542138,0.511945849292213,0.450184565792062,5.30122528086572e-199
175,MYD88,3.0532861762703e-200,-0.506146107854998,-0.473131681929658,-0.539160533780337,2.10519720016442e-198
176,JARID2,3.91573097799421e-198,0.543508809070978,0.578900222405527,0.508117395736429,2.68450056707262e-196
177,YPEL3,6.31461514796038e-197,0.480246698016231,0.511985629550563,0.4485077664819,4.30464103815197e-195
178,NRGN,7.97668291069658e-197,0.543217648013133,0.578601023977619,0.507834272048647,5.4071155056441e-195
179,AHNAK,7.47130395638855e-196,-0.599933136755375,-0.561012134740539,-0.638854138770212,5.03624321440135e-194
180,ZFP36L1,1.19254139619125e-194,0.836955102378636,0.889546142791327,0.784364061965945,7.99400249246867e-193
181,RNF213,2.27014946360721e-193,-0.509802505251762,-0.476612248396909,-0.542992762106614,1.51334936065661e-191
182,S100A9,1.43288288788499e-192,-0.896732940347136,-0.838669148720531,-0.954796731973741,9.49954116770346e-191
183,ATP6V0B,2.25516813268869e-192,0.447962702519702,0.476974950432357,0.418950454607048,1.486932168799e-190
184,NEDD4L,1.21018661558343e-191,0.438424364351739,0.468196076652801,0.408652652050678,7.93593027371175e-190
185,C9orf72,4.70652043501753e-191,0.4922354028351,0.525598885909497,0.458871919760704,3.06966894967144e-189
186,TEDC1,2.94699567737562e-189,-0.369395622691743,-0.345595030288626,-0.39319621509486,1.91174461522657e-187
187,RUNX3,3.36712597099253e-188,0.563468208939666,0.60460081540136,0.522335602477972,2.17260652224577e-186
188,GLUL,1.2121424823649e-187,-0.715381107701201,-0.668082829765045,-0.762679385637356,7.77963361288029e-186
189,MAP4K4,1.27940128151875e-187,0.419251623091862,0.448185862330317,0.390317383853406,8.16786024487051e-186
190,KIAA0930,7.99041256080764e-187,-0.495279945223854,-0.463028193710205,-0.527531696737503,5.07433252414237e-185
191,CSF2RB,1.31774129450873e-186,-0.515287988772566,-0.48229429867716,-0.548281678867972,8.32453741337292e-185
192,C1orf162,3.12933380245291e-185,-0.535085045461066,-0.499728355207194,-0.570441735714937,1.966590711479e-183
193,CCNI,1.48616332289161e-184,0.422791610985077,0.450872734413922,0.394710487556232,9.29121588290685e-183
194,TBC1D7,1.93807029418395e-183,0.439855257917231,0.470401142476098,0.409309373358365,1.20539980255792e-181
195,BANK1,3.94307286465386e-182,-0.240327166744605,-0.224216031406228,-0.256438302082982,2.4398521633289e-180
196,MN1,8.98931306769898e-182,0.231367903448392,0.250018481625437,0.212717325271346,5.53393119769673e-180
197,RAB11FIP1,1.64119544333115e-180,-0.533889323012147,-0.497528137601059,-0.570250508423234,1.00521138168699e-178
198,GPX4,2.58175733496406e-179,0.464689171773973,0.496101231200278,0.433277112347669,1.57330727291295e-177
199,ARL8A,3.23996923061848e-179,0.441592655829776,0.471216465264405,0.411968846395147,1.9644959164142e-177
