,primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr
10570,TSPAN15,0.0722576360655394,-0.00659101053155669,0.00259530166501398,-0.0157773227281274,0.0861622748316045
10571,LPAR1,0.0724703065092929,0.0127750585986542,0.0254983987145367,5.17184827716899e-05,0.0864076949430638
10572,LBHD1,0.072513931583525,-0.0290554636450986,0.00798026497004462,-0.0660911922602419,0.0864515317516788
10573,NEDD4L,0.0725972001949845,-0.0433194174340885,-0.00286663901457725,-0.0837721958535997,0.0865426190539662
10574,PCDHGA12,0.072777515045547,0.0122942662602014,0.0469865251563749,-0.0223979926359722,0.0867411630859645
10575,TIA1,0.072777200040023,0.0100380517201865,0.0921203611086705,-0.0720442576682976,0.0867411630859645
10576,SLC25A19,0.072809649245871,-0.0142572271342642,0.0014089057977354,-0.0299233600662639,0.0867712574787215
10577,TMEM121B,0.072816763383006,NA,NA,NA,0.0867715312167352
10578,CCNE2,0.0729388829336324,0.0283419312294597,0.0540743975216016,0.00260946493731785,0.0869088372561451
10579,CCDC154,0.0730413874416327,0.0102537653196425,0.039833378859516,-0.019325848220231,0.0870227476429094
10580,CNRIP1,0.073104730044624,-0.00752531306750783,0.00898933428009279,-0.0240399604151085,0.0870899827488129
10581,TTC36,0.073193502585658,-0.00716252250354342,0.00121869211711772,-0.0155437371242046,0.0871874970786914
10582,KLHL8,0.0732262168218279,0.00848541910822015,0.0467994866978838,-0.0298286484814435,0.0872182230979322
10583,ENTPD5,0.0734420751402233,-0.0127297606738954,0.0229741953241413,-0.0484337166719322,0.0874670618035883
10584,TEX10,0.0735511777026932,0.0389234459129159,0.0920735095481352,-0.0142266177223034,0.0875887229558527
10585,ZNF765,0.0736814413067324,-0.0182192682193853,0.00826416113989256,-0.0447026975786633,0.0877355584534771
10586,CPM,0.073981818727796,-0.0050854812704634,0.0014245720823601,-0.0115955346232869,0.0880849086760949
10587,CDHR4,0.0741069423401614,0.0275634211285296,0.0506716054702937,0.00445523678676545,0.0882255503216582
10588,NNAT,0.0741673858451093,-0.0112950307459729,0.00024988507932399,-0.0228399465712698,0.0882891699274422
10589,ZNF461,0.0741771844199406,0.0222743011962963,0.0450679418800774,-0.000519339487484748,0.0882924952714072
10590,TSPAN4,0.0744686994614746,0.0145651472618845,0.0724607023589504,-0.0433304078351814,0.0886311131267636
10591,CORO2A,0.074480459085947,0.0150910366107248,0.068132352525408,-0.0379502793039584,0.0886367393371047
10592,CCDC149,0.0746237123825638,-0.032082047659978,-0.0027122604575756,-0.0614518348623804,0.0887988359960191
10593,B3GALNT1,0.074704293858417,0.0185802597005362,0.0519414272278138,-0.0147809078267414,0.0888863324640317
10594,PSEN2,0.074711775177772,0.0105579527641068,0.0360639448294342,-0.0149480393012206,0.0888868429621142
